strategy,strategy_name,seed,n,output_tokens,processed_decode_tokens,kept_count,evicted_count,retention_rate,active_mb,peak_mb,cache_mb,tokens_per_sec,output_entity_recall,retained_entity_recall,output_logic_recall,retained_logic_recall,output_logic_category_recall,retained_logic_category_recall,baseline_similarity,baseline_lcs,repeat_3gram_rate,repeat_4gram_rate,repeat_3gram_max,repeat_3gram_max_count,repeat_4gram_max,repeat_4gram_max_count,budget_label,budget_keep_count,budget_decision_budget,random_keep_budget,random_decision_budget,cache_offset_min,cache_offset_max,cache_offset_mean,base_volume_p50,base_volume_p75,base_volume_p90,base_volume_p95,local_jump_p50,local_jump_p75,local_jump_p90,local_jump_p95,score_p50,score_p75,score_p90,score_p95
baseline,Baseline 原生模式,0,,150,149,149,0,100.0,5012.961450576782,5104.002683639526,105.84891128540039,15.72345479769409,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.2105263157894735,2.1164021164021163,李星辰,3,边缘区域,2,,,,,,219,219,219.0,,,,,,,,,,,,
geo_no_jump,Geo-no-jump 体积-only 对照,0,,150,149,9,140,6.0402684563758395,5012.973657608032,5104.007078170776,105.56120109558105,15.890029066467207,50.0,50.0,0.0,0.0,0.0,0.0,7.083333333333333,5.902777777777778,93.35664335664336,92.98245614035088,持续加,47,持续加速,46,,,,,,79,79,79.0,2870.379638671875,3440.6162109375,3440.6162109375,3440.6162109375,0.22865426540374756,0.2515610456466675,0.2515610456466675,0.2515610456466675,2870.379638671875,3440.6162109375,3440.6162109375,3440.6162109375
geo,Geo 几何+Jump 对照,0,,150,149,16,133,10.738255033557047,5012.974634170532,5104.007078170776,105.5706615447998,16.014388334286043,50.0,50.0,0.0,0.0,0.0,0.0,15.533980582524272,13.636363636363637,87.1559633027523,87.09677419354838,的区域,65,的区域的,64,,,,,,86,86,86.0,3099.609130859375,3255.338623046875,3255.338623046875,3255.338623046875,0.1755329966545105,0.1755329966545105,0.18243058919906616,0.24651014804840082,3255.338623046875,3255.338623046875,3256.819921875,4237.207080078125
jieba_only,Jieba-only 词法对照,0,,150,149,13,136,8.724832214765101,5012.961450576782,5104.002683639526,105.54054641723633,16.618503969173126,50.0,50.0,66.66666666666667,0.0,100.0,0.0,11.794871794871796,11.11111111111111,84.18367346938776,83.58974358974359,法正常,42,法正常无,42,,,,,,83,83,83.0,,,,,,,,,,,,
guard_only,Guard-only 词法/逻辑/边界对照,0,,150,149,18,131,12.080536912751679,5012.961450576782,5104.002683639526,105.54767227172852,17.241425047522156,50.0,50.0,66.66666666666667,66.66666666666667,100.0,100.0,18.627450980392158,12.962962962962964,81.30841121495327,80.28169014084507,区域的,58,的区域的,57,,,,,,88,88,88.0,,,,,,,,,,,,
vortex_no_logic,Vortex-no-logic 消融,0,,150,149,131,18,87.91946308724832,5012.970239639282,5104.007078170776,105.99880790710449,16.235202257352736,100.0,100.0,66.66666666666667,66.66666666666667,100.0,100.0,54.15549597855228,42.1875,3.910614525139665,1.6853932584269662,黑洞的,2,李星辰的,2,,,,,,201,201,201.0,3402.425048828125,3721.784912109375,3967.0037109375,4171.0623046875,0.19476962089538574,0.2543039917945862,0.34167802333831787,0.3706166386604308,4022.95458984375,4817.118408203125,5236.744677734374,5611.859570312499
vortex_no_jump,Vortex-no-jump 消融,0,,150,149,14,135,9.395973154362416,5012.974634170532,5104.007078170776,105.56802177429199,16.180089994487954,75.0,50.0,0.0,0.0,0.0,0.0,11.320754716981131,9.12280701754386,91.87279151943463,91.84397163120568,噬速度,45,吞噬速度,45,,,,,,84,84,84.0,3088.95458984375,3358.104248046875,3358.104248046875,3358.104248046875,0.19262272119522095,0.20073068141937256,0.20073068141937256,0.22863103151321404,3088.95458984375,3358.104248046875,3358.104248046875,3358.104248046875
vortex,Vortex V5.6 完整模式,0,,150,149,131,18,87.91946308724832,5012.970239639282,5104.007078170776,105.99658012390137,16.177381971911558,100.0,100.0,66.66666666666667,66.66666666666667,100.0,100.0,50.938337801608576,39.0625,5.58659217877095,2.808988764044944,黑洞的,2,报告舰队,2,,,,,,201,201,201.0,3398.3701171875,3672.263671875,3967.0037109375,4074.417919921875,0.20184099674224854,0.2522624731063843,0.3100651383399963,0.35391602516174314,4062.02685546875,4728.09716796875,5259.681396484375,5538.866796875
random_p_mean,Random-p mean n=5,mean,5,150.0,149.0,129.4,19.6,86.84563758389262,5012.961450576782,5104.002683639526,105.8649787902832,16.97484787565718,100.0,95.0,46.66666666666667,46.66666666666667,80.0,80.0,55.22529459834173,41.788015463917525,6.75891756686524,3.7711732585227287,,2.2,,2.2,,,,,,199.4,199.4,199.4,,,,,,,,,,,,
random_k_mean,Random-k mean n=5,mean,5,150.0,149.0,131.0,18.0,87.91946308724832,5012.961450576782,5104.002683639526,105.8629524230957,16.83440546099064,100.0,90.0,40.0,40.0,80.0,80.0,52.96428565542173,39.68676553068746,6.367285765843173,3.6832535602885117,,2.8,,2.4,,,,,,201.0,201.0,201.0,,,,,,,,,,,,
geo@80,Geo 几何+Jump 对照 @80 budget,0,,150,149,119,30,79.86577181208054,5012.969751358032,5104.007078170776,105.99658012390137,16.460560467231495,100.0,75.0,66.66666666666667,66.66666666666667,100.0,100.0,57.291666666666664,42.708333333333336,10.526315789473685,6.349206349206349,黑洞的,3,无法确定,3,@80,119,149,,,189,189,189.0,3490.810302734375,3721.290771484375,3958.33251953125,4108.46328125,0.21492475271224976,0.2750786542892456,0.3397241353988647,0.3933497428894042,4022.95458984375,4697.931884765625,4983.568115234375,5149.68662109375
guard_only@80,Guard-only 词法/逻辑/边界对照 @80 budget,0,,150,149,119,30,79.86577181208054,5012.961450576782,5104.002683639526,105.8719367980957,17.126440564492952,100.0,100.0,66.66666666666667,66.66666666666667,100.0,100.0,47.395833333333336,33.333333333333336,17.894736842105264,13.227513227513228,的区域,8,的区域的,7,@80,119,149,,,189,189,189.0,,,,,,,,,,,,
vortex_no_logic@80,Vortex-no-logic 消融 @80 budget,0,,150,149,119,30,79.86577181208054,5012.969751358032,5104.007078170776,106.00105094909668,16.23864886889012,100.0,100.0,33.333333333333336,33.333333333333336,100.0,100.0,62.06896551724138,47.395833333333336,3.8251366120218577,1.098901098901099,李星辰,3,时间扭曲,2,@80,119,149,,,189,189,189.0,3386.480224609375,3673.078369140625,3946.678710937499,4110.56806640625,0.2133399248123169,0.2703436017036438,0.32674207687377915,0.37739830017089837,4119.23876953125,4765.006591796875,5146.678710937499,5467.303857421875
vortex_no_jump@80,Vortex-no-jump 消融 @80 budget,0,,150,149,119,30,79.86577181208054,5012.969751358032,5104.007078170776,105.98490715026855,17.084155866810484,100.0,75.0,66.66666666666667,66.66666666666667,100.0,100.0,42.50681198910082,28.125,19.07514450867052,15.69767441860465,线条的,9,的线条的,9,@80,119,149,,,189,189,189.0,3377.501953125,3689.700927734375,4038.3645996093746,4197.4783203125,0.2027871012687683,0.27676230669021606,0.3715023279190062,0.41492881774902335,3538.328369140625,4009.401611328125,4681.164941406249,4939.829150390625
vortex@80,Vortex V5.6 完整模式 @80 budget,0,,150,149,119,30,79.86577181208054,5012.973657608032,5104.007078170776,105.93934440612793,16.296472241731877,100.0,75.0,100.0,100.0,100.0,100.0,52.21932114882507,33.854166666666664,5.291005291005291,2.127659574468085,我们必,3,我们必须,3,@80,119,149,,,189,189,189.0,3468.10107421875,3817.617919921875,4015.4152343749997,4241.18212890625,0.20058798789978027,0.25959134101867676,0.3155841827392577,0.3562000036239624,4210.7451171875,4828.163818359375,5305.020214843748,5873.940722656251
geo@70,Geo 几何+Jump 对照 @70 budget,0,,150,149,104,45,69.79865771812081,5012.970239639282,5104.007078170776,105.99201774597168,16.211974903177126,100.0,100.0,66.66666666666667,66.66666666666667,100.0,100.0,47.540983606557376,35.9375,23.25581395348837,22.80701754385965,加剧加,21,加剧加剧,21,@70,104,149,,,174,174,174.0,3466.774169921875,3668.425048828125,3809.583056640625,4068.518310546875,0.18468022346496582,0.23463654518127441,0.30133426189422596,0.35050299167633053,3547.703125,4433.6142578125,4892.725146484376,5015.508447265625
guard_only@70,Guard-only 词法/逻辑/边界对照 @70 budget,0,,150,149,104,45,69.79865771812081,5012.961450576782,5104.002683639526,105.90364456176758,16.563609919690613,100.0,100.0,66.66666666666667,66.66666666666667,100.0,100.0,43.54430379746835,27.586206896551722,24.875621890547265,22.5,的区域,15,域的区域,15,@70,104,149,,,174,174,174.0,,,,,,,,,,,,
vortex_no_logic@70,Vortex-no-logic 消融 @70 budget,0,,150,149,104,45,69.79865771812081,5012.970239639282,5104.007078170776,105.98812675476074,16.1997960843005,100.0,100.0,66.66666666666667,66.66666666666667,100.0,100.0,48.06201550387597,36.41025641025641,32.64248704663213,29.166666666666668,了三天,20,了三天了,20,@70,104,149,,,174,174,174.0,3262.7451171875,3655.9541015625,3906.295751953125,4063.7620605468746,0.1646033525466919,0.24489134550094604,0.3128679871559143,0.349490213394165,3918.614990234375,4655.485107421875,5014.655029296875,5214.0623046875
vortex_no_jump@70,Vortex-no-jump 消融 @70 budget,0,,150,149,104,45,69.79865771812081,5012.974145889282,5104.007078170776,105.99218559265137,16.27221749342214,100.0,75.0,66.66666666666667,66.66666666666667,100.0,100.0,46.90721649484536,32.6530612244898,23.711340206185568,16.580310880829014,我们无,5,我们无法,5,@70,104,149,,,174,174,174.0,3530.528564453125,3736.954833984375,4043.4769042968746,4213.032128906249,0.23325234651565552,0.2922358512878418,0.3416841387748718,0.38709851503372184,3648.7353515625,4222.844970703125,4959.470019531249,5197.259375
vortex@70,Vortex V5.6 完整模式 @70 budget,0,,150,149,104,45,69.79865771812081,5012.969751358032,5104.007078170776,105.99171257019043,16.19081532358992,100.0,100.0,66.66666666666667,66.66666666666667,100.0,100.0,48.06201550387597,36.41025641025641,32.64248704663213,29.166666666666668,了三天,20,了三天了,20,@70,104,149,,,174,174,174.0,3262.7451171875,3655.9541015625,3906.295751953125,4063.7620605468746,0.1646033525466919,0.24489134550094604,0.3128679871559143,0.349490213394165,3965.103515625,4698.892822265625,5040.377197265625,5248.3138671875
geo@60,Geo 几何+Jump 对照 @60 budget,0,,150,149,89,60,59.73154362416108,5012.970239639282,5104.007078170776,105.99880790710449,16.303559342092942,100.0,100.0,66.66666666666667,66.66666666666667,100.0,100.0,44.03183023872679,35.9375,38.25136612021858,37.362637362637365,正在扩,18,正在扩大,18,@60,89,149,,,159,159,159.0,3084.830078125,3444.2197265625,3736.836718749999,3887.916552734375,0.16873610019683838,0.24330276250839233,0.2981034874916076,0.36221919059753416,3294.44873046875,4333.552734375,4811.667919921875,4887.644091796875
guard_only@60,Guard-only 词法/逻辑/边界对照 @60 budget,0,,150,149,89,60,59.73154362416108,5012.961450576782,5104.002683639526,105.8417854309082,16.64828105659783,100.0,100.0,66.66666666666667,66.66666666666667,100.0,100.0,42.44031830238727,35.416666666666664,39.34426229508197,38.46153846153846,续扩大,19,持续扩大,19,@60,89,149,,,159,159,159.0,,,,,,,,,,,,
